Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:42:08,2018-07-10 12:42:40,31.588s,PASSED
,,,,,,
Test Cases/SD Banner,Chrome 67.0.3396.99,,2018-07-10 12:42:10,2018-07-10 12:42:40,30.328s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-10 12:42:10,2018-07-10 12:42:16,6.016s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-10 12:42:16,2018-07-10 12:42:23,6.228s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:42:23,2018-07-10 12:42:23,0.456s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 12:42:23,2018-07-10 12:42:24,0.976s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:42:24,2018-07-10 12:42:25,0.683s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:42:25,2018-07-10 12:42:25,0.085s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:42:25,2018-07-10 12:42:25,0.089s,PASSED
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:42:25,2018-07-10 12:42:35,10.179s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 12:42:35,2018-07-10 12:42:39,3.679s,PASSED
back,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.003s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.006s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.011s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.001s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.005s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.004s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.010s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.001s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.003s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.001s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.001s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.001s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
back,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.001s,NOT_RUN
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.011s,NOT_RUN
waitForElementClickable,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.001s,NOT_RUN
waitForElementVisible,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
click,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:39,0.002s,NOT_RUN
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 12:42:39,2018-07-10 12:42:40,0.982s,PASSED
